uuid,type,title,rating,reviews,score,timestamp
bbfd74bf-6eaa-4fbc-8221-962ecc4bb0c7,regular_store,puro gohan,4.8,471,0.91,2022_Apr_21_08_52_41
745ae6d2-4686-4851-b6b2-a312aff00b1d,regular_store,sangucheria petrü,4.7,482,0.91,2022_Apr_21_08_52_41
2983e114-510f-4cac-8096-372e53ec7a03,regular_store,thai time,4.6,469,0.86,2022_Apr_21_08_52_41
7e80c1ac-d574-4b95-8b86-7bb622262e0d,regular_store,fuente chilena - el golf,4.7,449,0.85,2022_Apr_21_08_52_41
e594eb45-1824-4122-8a79-b319fd915b28,regular_store,xin hua,4.7,413,0.78,2022_Apr_21_08_52_41
59c64703-e19b-45f3-8f99-7bfa7a409270,regular_store,alto japón providencia,4.8,393,0.76,2022_Apr_21_08_52_41
4188dfaf-dac2-4a9f-810d-4ef838f15104,regular_store,super taco - los militares,4.8,385,0.74,2022_Apr_21_08_52_41
e1cd0177-fff4-46b4-a307-456b9dccfaa6,regular_store,manos de monje,4.8,361,0.69,2022_Apr_21_08_52_41
8a100cf9-b4ff-4da8-a541-989cc62dab9f,regular_store,rock the food - manuel montt,4.3,399,0.69,2022_Apr_21_08_52_41
21c99228-d127-48f1-a2f1-ac632ebb8621,regular_store,chicken factory - ossa,4.7,336,0.63,2022_Apr_21_08_52_41
9821b219-0774-476c-a673-c165996bf984,regular_store,relativo - providencia,4.7,330,0.62,2022_Apr_21_08_52_41
393c8c03-b9f5-4c62-91e1-0f5e7c156ca9,regular_store,burger love you [-50%],4.5,293,0.53,2022_Apr_21_08_52_41
e968bebc-898d-432f-8725-ad2d03d0ad3e,regular_store,rosso italiano,4.8,272,0.52,2022_Apr_21_08_52_41
87becff2-cb15-4afd-b955-d747d2bd1dd3,regular_store,restaurant feliz,4.8,272,0.52,2022_Apr_21_08_52_41
5a637d95-c836-4a7c-84ac-98114a2f9988,regular_store,taco bell - manuel montt,4.1,305,0.5,2022_Apr_21_08_52_41
3933bfe9-e4e9-40e3-bdea-cbb312ec78a4,regular_store,aceittuna,4.6,264,0.49,2022_Apr_21_08_52_41
a2a135d2-a56b-43ee-8d79-1f9dde055610,regular_store,la burgueseria,4.3,273,0.47,2022_Apr_21_08_52_41
1fed00b8-6d14-4333-a7d0-04c80a5be13c,regular_store,"chiky's chicken, salads & wraps",4.2,279,0.47,2022_Apr_21_08_52_41
b5a3c23c-a09a-4d75-81ce-f9c175fa396c,regular_store,cada loco con su churro - ñuñoa,4.7,252,0.47,2022_Apr_21_08_52_41
94f44c57-9fa9-430f-8d1b-83fd947c01e2,regular_store,fries house,4.5,250,0.45,2022_Apr_21_08_52_41
01348436-fbbd-456f-9b77-ae82a8516c01,regular_store,tiger wok - providencia,4.5,243,0.44,2022_Apr_21_08_52_41
69360851-7ff1-4370-a132-b3d3d45de079,regular_store,beasty butchers,4.8,225,0.43,2022_Apr_21_08_52_41
7e67d73e-5e6a-4f8e-8684-e42cf27b2002,regular_store,el zocalo cocina mexicana - providencia,4.3,232,0.4,2022_Apr_21_08_52_41
30960b3f-3834-480c-9a9e-419763a05411,regular_store,tung fong - barcelona,4.4,217,0.38,2022_Apr_21_08_52_41
36d983e9-0d6d-4730-9d78-402eb3906441,regular_store,arepa's,4.4,214,0.38,2022_Apr_21_08_52_41
453355a6-c627-4655-afcb-249a18da2ee8,regular_store,restaurant peruano pez de oro,4.7,200,0.38,2022_Apr_21_08_52_41
